call_id,call_date,agent_id,agent_name,team,call_type,call_outcome,aht_seconds,csat_score,fcr,attendance
CALL0001,1/13/2024,AG002,Priya Singh,Team A,Outbound,Resolved,215,5,Yes,Absent
CALL0002,10/29/2024,AG002,Priya Singh,Team A,Outbound,Resolved,203,4,Yes,Present
CALL0003,11/28/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,330,4,Yes,Present
CALL0004,12/23/2024,AG003,Rahul Verma,Team B,Outbound,Resolved,219,4,Yes,Present
CALL0005,2/19/2024,AG007,Arjun Mehta,Team C,Outbound,Callback,254,3,No,Present
CALL0006,10/1/2024,AG008,Neha Patel,Team B,Inbound,Abandoned,68,,No,Present
CALL0007,11/17/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,360,3,Yes,Present
CALL0008,4/29/2024,AG002,Priya Singh,Team A,Inbound,Resolved,296,5,Yes,Present
CALL0009,12/9/2024,AG004,Sneha Gupta,Team B,Outbound,Escalated,436,3,No,Present
CALL0010,3/24/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,416,5,Yes,Present
CALL0011,4/27/2024,AG001,Amit Sharma,Team A,Inbound,Callback,202,3,No,Present
CALL0012,6/10/2024,AG010,Divya Nair,Team A,Inbound,Escalated,602,4,No,Present
CALL0013,5/15/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,323,4,Yes,Present
CALL0014,7/23/2024,AG010,Divya Nair,Team A,Outbound,Resolved,215,4,No,Present
CALL0015,3/19/2024,AG002,Priya Singh,Team A,Inbound,Callback,208,4,No,Present
CALL0016,8/27/2024,AG010,Divya Nair,Team A,Outbound,Abandoned,21,,No,Present
CALL0017,12/15/2024,AG002,Priya Singh,Team A,Outbound,Callback,187,2,No,Present
CALL0018,1/2/2024,AG008,Neha Patel,Team B,Outbound,Abandoned,42,,No,Present
CALL0019,11/16/2024,AG002,Priya Singh,Team A,Outbound,Callback,229,4,No,Present
CALL0020,10/3/2024,AG003,Rahul Verma,Team B,Inbound,Resolved,305,3,Yes,Present
CALL0021,5/2/2024,AG005,Vikram Yadav,Team A,Inbound,Resolved,325,5,No,Present
CALL0022,9/29/2024,AG002,Priya Singh,Team A,Inbound,Resolved,301,5,No,Present
CALL0023,8/4/2024,AG010,Divya Nair,Team A,Inbound,Abandoned,45,,No,Present
CALL0024,12/9/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,312,4,Yes,Present
CALL0025,10/28/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,181,3,Yes,Present
CALL0026,6/18/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,251,5,Yes,Present
CALL0027,10/22/2024,AG010,Divya Nair,Team A,Outbound,Resolved,301,5,No,Present
CALL0028,6/30/2024,AG007,Arjun Mehta,Team C,Outbound,Resolved,401,5,Yes,Late
CALL0029,2/1/2024,AG002,Priya Singh,Team A,Outbound,Escalated,455,1,No,Present
CALL0030,3/12/2024,AG008,Neha Patel,Team B,Outbound,Resolved,298,4,Yes,Present
CALL0031,2/20/2024,AG009,Karan Malhotra,Team C,Inbound,Escalated,676,3,No,Late
CALL0032,3/26/2024,AG004,Sneha Gupta,Team B,Outbound,Resolved,234,5,Yes,Present
CALL0033,7/18/2024,AG001,Amit Sharma,Team A,Outbound,Abandoned,78,,No,Present
CALL0034,12/4/2024,AG009,Karan Malhotra,Team C,Outbound,Resolved,255,4,No,Present
CALL0035,6/9/2024,AG001,Amit Sharma,Team A,Inbound,Resolved,302,4,Yes,Present
CALL0036,2/11/2024,AG009,Karan Malhotra,Team C,Inbound,Resolved,197,5,Yes,Present
CALL0037,5/6/2024,AG010,Divya Nair,Team A,Inbound,Escalated,614,3,No,Present
CALL0038,5/13/2024,AG006,Pooja Jain,Team C,Inbound,Escalated,560,1,No,Present
CALL0039,8/22/2024,AG005,Vikram Yadav,Team A,Outbound,Abandoned,29,,No,Present
CALL0040,10/15/2024,AG010,Divya Nair,Team A,Inbound,Resolved,234,4,No,Present
CALL0041,5/5/2024,AG002,Priya Singh,Team A,Outbound,Resolved,292,5,Yes,Present
CALL0042,1/5/2024,AG009,Karan Malhotra,Team C,Outbound,Abandoned,33,,No,Absent
CALL0043,5/15/2024,AG003,Rahul Verma,Team B,Inbound,Callback,290,4,No,Present
CALL0044,4/17/2024,AG010,Divya Nair,Team A,Outbound,Resolved,342,5,Yes,Present
CALL0045,2/17/2024,AG001,Amit Sharma,Team A,Outbound,Callback,111,2,No,Present
CALL0046,3/23/2024,AG005,Vikram Yadav,Team A,Outbound,Resolved,289,5,No,Late
